PAC/VMC,49.874192333771205,42.35535711539274,34.59302110312515
PAC/VMC (Stationnaire),41.51881247499944,33.90989637763694,20.009423846084054
PAC/VMC (Stationnaire),43.276774520628734,32.37822187684777,21.300858037256425
PAC/VMC (Stationnaire),45.3168125107776,35.59720157438994,20.07653061486133
Autre,52.815425424821775,43.347189253976325,34.38234190658029
Autre,50.5235106728686,41.779160868218945,34.828908847265666
Autre,52.96569453325856,44.38281904052662,33.92521575301434
Autre,50.336696114736334,42.21612958710173,34.11347227843575
Autre,50.77091783348217,42.68002541685186,34.22390420180343
Autre,51.299702951226664,42.26429533325132,34.11821511871039
Autre,50.336696114736334,42.21612958710173,34.11347227843575
Autre,52.96569453325856,44.38281904052662,33.92521575301434
Autre,52.96569453325856,44.38281904052662,33.92521575301434
PAC/VMC (Stationnaire),46.33183227178875,32.942820673740066,20.471980041652245
Autre,50.81779293988669,42.72861935735272,34.77352253719254
Autre,51.17287357685101,41.372645823115946,34.44208828375951
PAC/VMC (Stationnaire),43.796874307141536,33.09230881930642,21.192386588092965
Autre,42.60073698300544,31.424183461780025,21.23356997661741
Autre,53.18696854273533,43.183428802068136,34.10620590574955
Autre,51.71433221491163,43.85789403095208,35.63764910688421
Autre,52.29178586348209,42.53343985217605,34.565568549304786
PAC/VMC (Stationnaire),46.549046538800845,32.60764490149639,21.112574051432492
Autre,50.81779293988669,42.72861935735272,34.77352253719254
Autre,50.46377287592517,41.656110293544444,33.86261926627343
PAC/VMC (Stationnaire),42.08326204476248,31.50960715243997,20.854571919659605
PAC/VMC (Stationnaire),41.512951952013005,30.260390693482243,21.039663385250954
Autre,51.58026323155387,42.66100698166354,33.29556365751084
Autre,50.42760062144087,42.46645332163734,34.13453105537426
Autre,50.73876122011906,42.32056532089382,35.39174353986454
Autre,52.84153968284607,49.82279206894792,34.02310719514946
